name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Feast Bar & Kitchen,201 Wood Lane,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000253,College Park and Old Oak,,-0.2278494256881931,51.513379590647624,523067.9666612048,180871.92378564825,01/19/2020
W12 Studios,195 Wood Lane,Shepherds Bush,,E09000013,Hammersmith and Fulham,,E05000253,College Park and Old Oak,,-0.2278494256881931,51.513379590647624,523067.9666612048,180871.92378564825,01/19/2020
Defector's Weld,170 Uxbridge Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000263,Shepherd's Bush Green,,-0.2230998180994096,51.505070512441606,523419.9665653759,179955.92403481342,01/19/2020
Oak,243 Goldhawk Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000261,Ravenscourt Park,,-0.2409682336917435,51.49907193046186,522195.9668977782,179258.92422325606,01/19/2020
Shepherd & Flock,84 Goldhawk Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000263,Shepherd's Bush Green,,-0.22787462390691635,51.50233703847153,523095.9666539976,179643.92411923956,01/19/2020
Loading,174 Goldhawk Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000251,Askew,,-0.23270922999964397,51.50139380449954,522762.96674452384,179530.9241490026,01/19/2020
White Horse,31 Uxbridge Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000263,Shepherd's Bush Green,,-0.2275762204919581,51.505569873484774,523107.96664990205,180003.92402102472,01/19/2020
Bush Theatre Library Bar,7 Uxbridge Rd,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000263,Shepherd's Bush Green,,-0.2254503430222903,51.50502515702163,523256.96660961455,179946.92403691425,01/19/2020
Belushi's,15 Shepherds Bush Green,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000250,Addison,,-0.21952966375527763,51.50387431945114,523670.9664976224,179828.924070212,01/19/2020
Central Bar,"West 12 Centre, Shepherds Bush Green",Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000250,Addison,,-0.21952966375527763,51.50387431945114,523670.9664976224,179828.924070212,01/19/2020
Sindercombe Social,2 Goldhawk Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000263,Shepherd's Bush Green,,-0.2240496060068151,51.503250399062615,523358.96658242785,179751.92409047973,01/19/2020
BrewDog,15-19 Goldhawk Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000263,Shepherd's Bush Green,,-0.22443059012657646,51.50271660844932,523333.9665893556,179691.92410681932,01/19/2020
Eagle,215 Askew Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000251,Askew,,-0.23955945665776135,51.500858314714016,522288.9668727117,179459.9241680224,01/19/2020
Orchard Tavern,136 Askew Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000261,Ravenscourt Park,,-0.24231637077781196,51.50185286246292,522094.9669250308,179565.9241395293,01/19/2020
Princess Victoria,217 Uxbridge Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000251,Askew,,-0.24022829945995952,51.506308872082066,522227.9668887729,180064.92400438682,01/19/2020
Askew Pub & Kitchen,269 Uxbridge Road,Shepherds Bush,London,E09000013,Hammersmith and Fulham,,E05000251,Askew,,-0.2440371353647604,51.50656376898576,521962.96696086595,180086.92399916035,01/19/2020
